make,model,year,mileage,city,color,trans,price
Lexus,Rx350F,2017,45000,Jeddah,White,Automatic,200000
Lexus,Ls,2015,90000,Dammam,White,Automatic,200000
Ford,Mustang Gt,2018,4000,Jeddah,White,Automatic,200000
Toyota,Land Cruiser,2016,88425,Dammam,White,Automatic,200000
Toyota,Land Cruiser,2018,44835,Jeddah,White,Automatic,200000
Lexus,Lx570S,2015,90000,Riyadh,Silver,Automatic,200000
Lexus,Rx350,2017,45000,Jeddah,Golden,Automatic,200000
Dodge,Charger Srt Hellcat,2016,43000,Sharqiya,White,Automatic,200000
Land Rover,Range Rover Sport,2014,82000,Jeddah,Red,Automatic,200000
Cadillac,Escalade,2016,53000,Riyadh,Grey,Automatic,200000
Lexus,Rx,2017,48670,Jeddah,Gold,Automatic,200000
Lexus,Gx460,2018,12000,Sharqiya,Grey,Automatic,200000
Toyota,Land Cruiser,2016,28893,Riyadh,White,Automatic,200000
Lexus,Lx570,2014,69000,Jeddah,White,Automatic,200000
Land Rover,Range Rover Sport Hse,2014,50000,Riyadh,Silver,Automatic,200000
Toyota,Land Cruiser Gxr,2018,58000,Riyadh,Blue,Automatic,200000
Land Rover,Sport,2014,84949,Jeddah,Red,Automatic,200000
Cadillac,Ct6,2017,11460,Riyadh,White,Automatic,200000
Toyota,Land Cruiser,2016,26000,Riyadh,White,Automatic,200000
Land Rover,Discovery,2018,3500,Jeddah,Grey,Automatic,199000
Land Rover,Discovery,2018,25000,Dammam,White,Automatic,199000
Land Rover,Range Rover Hse,2014,153000,Dammam,White,Automatic,199000
Land Rover,Range Rover Evoque Dynamic,2020,8000,Riyadh,White,Automatic,199000
Land Rover,Range Rover Hse,2016,100000,Dammam,White,Automatic,199000
Nissan,Patrol,2017,10000,Riyadh,White,Automatic,198000
Nissan,Patrol,2017,17944,Riyadh,White,Automatic,198000
Land Rover,Discovery Sport,2018,30000,Sharqiya,Silver,Automatic,197190
Toyota,Land Cruiser,2019,27457,Jeddah,White,Automatic,197000
Toyota,Land Cruiser Gxr,2019,23000,Jeddah,Red,Automatic,197000
Toyota,Land Cruiser,2019,23000,Jeddah,White,Automatic,197000
Toyota,Land Cruiser Gxr,2019,23000,Jeddah,Beige,Automatic,197000
Toyota,Land Cruiser,2016,84204,Dammam,White,Automatic,195000
Lexus,Lx570S,2014,173000,Jeddah,White,Automatic,195000
Gmc,Yukon Slt,2018,14000,Jeddah,Green,Automatic,195000
Lexus,Lx570,2015,134000,Riyadh,Grey,Automatic,195000
Lexus,Ls,2015,61317,Al Baha,White,Automatic,195000
Lexus,Gs350,2018,45000,Riyadh,Yellow,Automatic,195000
Lexus,Rx350,2018,56000,Jeddah,White,Automatic,195000
Toyota,Land Cruiser,2016,82000,Dammam,White,Automatic,195000
Nissan,Patrol,2019,25000,Riyadh,Blue,Automatic,195000
Lexus,Lx570,2015,180000,Jeddah,White,Automatic,195000
Lexus,Ls460L,2015,68000,Riyadh,Blue,Automatic,195000
Land Rover,Discovery,2017,3000,Riyadh,White,Automatic,195000
Toyota,Land Cruiser Gxr,2019,33000,Jeddah,Black,Automatic,195000
Lexus,Lx570S,2015,81000,Jeddah,White,Automatic,195000
Land Rover,Range Rover Sport Hse,2016,77000,Sharqiya,Blue,Automatic,195000
Land Rover,Range Rover Sport Supercharged,2014,109000,Riyadh,White,Automatic,195000
Cadillac,Ct6 Platinum,2017,5000,Riyadh,Silver,Automatic,195000
Lexus,Rx450,2018,56000,Jeddah,Golden,Automatic,195000
Lexus,Ls460,2015,68000,Jeddah,Golden,Automatic,195000
Lexus,Ls,2015,63981,Jeddah,Gold,Automatic,195000
Ford,F 150 Raptor,2018,45000,Sharqiya,Blue,Automatic,195000
Land Rover,Range Rover Sport Hse,2016,99500,Sharqiya,Purple,Automatic,195000
Cadillac,Escalade Platinum,2017,36000,Jeddah,White,Automatic,195000
Toyota,Land Cruiser,2016,18586,Jeddah,White,Automatic,193000
Toyota,Land Cruiser,2016,16000,Jeddah,White,Automatic,193000
Nissan,Patrol Super Safari,2020,6500,Jeddah,Black,Automatic,192000
Lexus,Gs,2019,411,Riyadh,White,Automatic,191625
Land Rover,Range Rover Autobiography Classic,2014,139000,Dammam,White,Automatic,190000
Toyota,Land Cruiser,2016,147000,Dammam,White,Automatic,190000
Land Rover,Range Rover Sport,2016,110000,Jeddah,Maroon,Automatic,190000
Land Rover,Sport,2016,107561,Jeddah,Brown,Automatic,190000
Land Rover,Range Rover Sport Autobiography,2014,100000,Dammam,Silver,Automatic,190000
Cadillac,Escalade,2015,70000,Jeddah,Dark Brown,Automatic,190000
Lexus,Lx570,2015,82000,Jeddah,White,Automatic,190000
Cadillac,Escalade,2015,70038,Jeddah,Brown,Automatic,190000
Land Rover,Sport,2015,55052,Jeddah,White,Automatic,190000
Lexus,Lx570S,2014,45000,Riyadh,Grey,Automatic,190000
Land Rover,Range Rover Vogue Se Supercharged,2015,175000,Sharqiya,White,Automatic,190000
Lexus,Lx570,2014,74000,Riyadh,Gray,Automatic,190000
Toyota,Land Cruiser,2016,142917,Dammam,White,Automatic,190000
Land Rover,Range Rover Sport Autobiography,2014,196000,Riyadh,Blue,Automatic,190000
Nissan,Patrol Platinum,2019,19000,Jeddah,White,Automatic,190000
Lexus,Ls600HL,2015,78000,Jeddah,White,Automatic,190000
Lexus,Rx450H,2018,42000,Riyadh,Grey,Automatic,190000
Cadillac,Escalade,2016,48000,Jeddah,Grey,Automatic,190000
Hyundai,Genesis,2018,52000,Jeddah,Brown,Automatic,190000
Ford,Mustang Gt,2019,200,Sharqiya,Grey,Automatic,190000
Jaguar,Xf S,2019,4000,Sharqiya,White,Automatic,190000
Jeep,Grand Cherokee Srt,2018,41000,Riyadh,Black,Automatic,190000
Gmc,Yukon Slt,2018,20000,Riyadh,White,Automatic,190000
Land Rover,Range Rover Sport,2015,54000,Jeddah,White,Automatic,190000
Dodge,Challenger Srt Hellcat,2015,14000,Riyadh,Blue,Automatic,190000
Land Rover,Range Rover Autobiography,2014,159000,Sharqiya,Grey,Automatic,189000
Toyota,Land Cruiser Gx,2020,5000,Riyadh,White,Automatic,189000
Land Rover,Range Rover Vouge,2014,150000,Riyadh,Beige,Automatic,189000
Jeep,Wrangler Rubicon,2019,15000,Riyadh,Black,Manual,188000
Jeep,Wrangler Rubicon,2019,5000,Jeddah,Gold,Automatic,188000
Cadillac,Ct6,2018,6000,Jeddah,Blue,Automatic,188000
Lexus,Ls460L,2015,85000,Jeddah,Silver,Automatic,188000
Nissan,Patrol Platinum,2019,25000,Riyadh,Blue,Automatic,188000
Land Rover,Discovery,2018,24951,Riyadh,Silver,Automatic,188000
Lexus,Lx570S,2014,206000,Jeddah,Black,Automatic,187000
Toyota,Land Cruiser,2016,11893,Riyadh,White,Automatic,186000
Gmc,Sierra,2019,13000,Riyadh,Blue,Automatic,186000
Jeep,Wrangler Sahara,2019,8500,Sharqiya,White,Automatic,185000
Toyota,Land Cruiser,2018,56753,Jeddah,White,Automatic,185000
